name,description,region
iWand 3+ 旗艦無針針灸棒,Flagship portable device for needle-free acupuncture.,hk
iWand Pro 300 專業版,High-power professional version of iWand.,hk
iRelief / iRelief 3 智能舒痛貼,Localized pain management using electrode pads.,hk
護脊儀 / 護肩儀 Happy Back / Happy Shoulder,Wearable devices specifically for muscle tension in the back and shoulders.,hk
iKnee 護膝儀,Targeted device for knee joint rejuvenation.,hk
PicoHealer 2000 專業治療儀,A high-end professional care unit.,hk
iWand Beauty 美容棒,A lightweight tool designed for skincare and activating collagen.,hk
Bella Bella 美容儀,A premium beauty device for anti-aging and facial rejuvenation.,hk
iVoice 護嗓儀,Focused on throat or vocal wellness.,hk
iSole Pro 能量鞋墊,Energy insoles for foot health and circulation.,hk
The Shield Pro 隨身護盾,A portable device aimed at environmental protection or personal field enhancement.,hk
天然排毒與消化支援 Natural Detox & Digestion,Natural Detox; Probiotic Support; Digest Support; and Happy Gut combinations.,hk
器官營養支援 Organ Support,Liver Support; Liver and Gallbladder Support; Blood Sugar Support; and Blood Pressure Support.,hk
全方位健康支援 General Wellness,Super Natural C; Sleep Support; Menopause Support; and Memory/Cognitive Support.,hk
Happy Pet 寵物系列,Power Joints; Skin Health; Digestive Care; Kidney Support / Health Support for Dogs and Cats.,hk